"198","48","2024-02-04 09:48:50","17","127"
"199","46","2024-02-04 10:26:44","1","127"
"200","46","2024-02-04 10:27:20","1","127"
"201","46","2024-02-04 10:27:21","1","127"
"202","46","2024-02-04 10:57:20","1","127"
"203","46","2024-02-04 11:02:15","2","127"
"204","46","2024-02-04 11:02:27","2","127"
"205","46","2024-02-04 11:02:29","2","127"
"206","46","2024-02-04 11:17:49","2","127"
"207","46","2024-02-04 11:18:25","2","127"
"208","46","2024-02-04 11:21:25","2","127"
"209","46","2024-02-04 11:24:55","3","127"
"210","46","2024-02-04 11:28:54","3","127"
"211","46","2024-02-04 11:29:15","4","127"
"212","46","2024-02-04 11:29:21","4","127"
"213","46","2024-02-04 11:37:46","4","127"
"214","46","2024-02-04 12:03:53","4","127"
"215","46","2024-02-04 12:05:57","4","127"
"216","46","2024-02-04 12:06:04","4","127"
"217","46","2024-02-04 12:36:58","4","127"
"218","46","2024-02-04 12:46:34","4","127"
"219","46","2024-02-04 12:47:57","4","127"
"220","41","2024-02-04 12:52:31","30","127"
"221","46","2024-02-04 12:52:37","4","127"
"222","41","2024-02-04 12:58:29","31","127"
"223","44","2024-02-04 13:48:42","9","127"
"224","44","2024-02-04 13:51:29","9","127"
"225","44","2024-02-04 13:53:40","9","127"
"226","44","2024-02-04 13:54:16","9","127"
"227","44","2024-02-04 13:54:22","9","127"
"228","44","2024-02-04 13:54:30","9","127"
"229","43","2024-02-04 13:56:04","6","127"
"230","44","2024-02-04 13:56:11","9","127"
"231","44","2024-02-04 14:00:14","9","127"
"232","44","2024-02-04 14:01:49","9","127"
"233","44","2024-02-04 14:02:35","9","127"
"234","44","2024-02-04 14:03:05","10","127"
"235","35","2024-02-04 14:41:19","1","127"
"236","49","2024-02-04 14:47:11","1","127"
"237","41","2024-02-04 15:09:46","31","127"
"238","46","2024-02-04 15:10:05","4","127"
"239","41","2024-02-04 15:10:12","31","127"
"240","41","2024-02-04 15:10:13","31","127"
"241","48","2024-02-04 15:17:12","17","127"
"242","48","2024-02-04 15:19:31","17","127"
"243","48","2024-02-04 15:21:13","17","127"
"244","48","2024-02-04 15:21:15","18","127"
"245","48","2024-02-04 15:21:16","18","127"
"246","46","2024-02-04 15:31:57","5","127"
"247","46","2024-02-04 15:31:57","5","127"
"248","46","2024-02-04 15:32:00","5","127"
"249","46","2024-02-04 15:32:38","5","127"
"250","46","2024-02-04 15:48:06","6","127"
"251","46","2024-02-04 15:48:11","6","127"
"252","46","2024-02-04 15:48:23","6","127"
"253","46","2024-02-04 16:08:33","6","127"
"254","46","2024-02-04 16:10:12","6","127"
"255","43","2024-02-04 16:34:30","8","127"
"256","43","2024-02-04 16:34:52","8","127"
"257","43","2024-02-04 16:41:36","9","127"
"258","43","2024-02-04 16:46:54","10","127"
"259","43","2024-02-04 17:02:23","11","127"
"260","43","2024-02-04 17:06:46","11","127"
"261","43","2024-02-04 17:06:49","11","127"
"262","43","2024-02-04 17:09:39","11","127"
"263","46","2024-02-04 17:11:42","6","127"
"264","43","2024-02-04 17:12:04","11","127"
"265","43","2024-02-04 17:12:57","12","127"
"266","43","2024-02-04 17:14:03","12","127"
"267","43","2024-02-04 17:14:46","13","127"
"268","46","2024-02-04 17:14:54","6","127"
"269","35","2024-02-04 18:43:32","2","127"
"270","46","2024-02-04 18:44:07","6","127"
"271","46","2024-02-04 18:46:35","8","127"
"272","46","2024-02-04 18:47:01","8","127"
"273","45","2024-02-04 18:53:15","2","127"
"274","46","2024-02-04 18:54:24","12","127"
"275","46","2024-02-04 18:54:26","12","127"
"276","46","2024-02-04 18:55:33","13","127"
"277","46","2024-02-04 18:55:35","13","127"
"278","46","2024-02-04 18:56:53","14","127"
"279","46","2024-02-04 18:56:55","14","127"
"280","35","2024-02-04 18:57:53","2","127"
"281","46","2024-02-04 18:58:26","14","127"
"282","35","2024-02-04 18:59:16","4","127"
"283","35","2024-02-04 19:00:14","4","127"
"284","35","2024-02-04 19:05:56","7","127"
"285","46","2024-02-04 19:06:02","15","127"
"286","46","2024-02-04 19:08:08","16","127"
"287","46","2024-02-04 19:08:09","16","127"
"288","46","2024-02-04 19:11:53","16","127"
"289","46","2024-02-04 19:13:55","17","127"
"290","46","2024-02-04 19:14:13","17","127"
"291","46","2024-02-04 19:14:29","17","127"
"292","46","2024-02-04 19:14:30","17","127"
"293","46","2024-02-04 19:14:39","17","127"
"294","46","2024-02-04 19:16:54","17","127"
"295","46","2024-02-04 19:18:41","18","127"
"296","46","2024-02-04 19:21:08","18","127"
"297","46","2024-02-04 19:26:47","18","127"
"298","46","2024-02-04 19:28:53","19","127"
"299","46","2024-02-04 19:29:28","19","127"
"300","46","2024-02-04 19:31:53","19","127"
"301","46","2024-02-04 19:33:22","19","127"
"302","46","2024-02-04 19:33:48","19","127"
"303","46","2024-02-04 19:35:37","19","127"
"304","46","2024-02-04 19:39:11","20","127"
"305","35","2024-02-04 19:44:19","32","127"
"306","49","2024-02-04 19:51:49","1","127"
"307","43","2024-02-04 19:52:38","13","127"
"308","41","2024-02-04 19:53:10","31","127"
"309","43","2024-02-04 19:54:16","14","127"
"310","43","2024-02-04 19:55:14","14","127"
"311","49","2024-02-04 20:23:43","1","127"
"312","46","2024-02-04 20:27:17","20","127"
"313","46","2024-02-04 20:27:53","20","127"
"314","46","2024-02-04 20:45:52","20","127"
"315","46","2024-02-04 20:47:47","20","127"
"317","46","2024-02-04 20:54:16","20","127"
"318","46","2024-02-04 20:54:56","20","127"
"319","46","2024-02-04 20:56:10","21","127"
"320","46","2024-02-04 20:56:11","21","127"
"321","46","2024-02-04 20:56:14","21","127"
"322","48","2024-02-04 20:58:51","18","127"
"323","46","2024-02-04 21:03:45","22","127"
"324","46","2024-02-04 21:14:49","22","127"
"325","46","2024-02-04 21:15:53","22","127"
"326","46","2024-02-04 21:18:39","22","127"
"327","46","2024-02-04 21:32:15","22","127"
"328","46","2024-02-04 21:34:30","23","127"
"329","46","2024-02-04 21:34:34","23","127"
"330","46","2024-02-04 21:35:28","23","127"
"331","46","2024-02-04 21:38:14","23","127"
"332","46","2024-02-04 21:40:32","23","127"
"333","46","2024-02-04 22:01:32","23","127"
"334","46","2024-02-04 22:01:35","23","127"
"335","35","2024-02-04 22:05:55","32","127"
"336","46","2024-02-04 22:06:03","23","127"
"337","35","2024-02-04 22:07:01","33","127"
"338","35","2024-02-04 22:07:13","33","127"
"339","46","2024-02-04 22:23:21","23","127"
"340","46","2024-02-04 22:27:06","24","127"
"341","50","2024-02-04 22:29:09","1","127"
"342","50","2024-02-04 22:29:17","1","127"
"343","50","2024-02-04 22:29:51","1","127"
"344","46","2024-02-04 22:32:28","24","127"
"345","46","2024-02-04 22:40:12","24","127"
"346","46","2024-02-04 22:40:52","24","127"
"347","46","2024-02-04 22:41:15","25","127"
"348","46","2024-02-04 23:14:14","25","127"
"352","45","2024-02-05 03:35:22","4","127"
"353","45","2024-02-05 03:36:34","5","127"
"354","35","2024-02-05 07:00:57","35","127"
"355","35","2024-02-05 07:03:15","37","127"
"356","46","2024-02-05 07:48:49","25","127"
"357","46","2024-02-05 07:59:51","25","127"
"358","49","2024-02-05 08:01:57","1","127"
"359","49","2024-02-05 08:02:04","1","127"
"360","46","2024-02-05 08:08:33","26","127"
